ID,Title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,quantity_to_sell_on_facebook,google_product_category,fb_product_category,color,gender,age_group,size,shipping,shipping_weight
GZ-B087YTKGP6,Crystal Drinking Decanter Set w/ 4 Bourbon Glasses,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
KANARS crystal liquor decanter set is made from high quality lead free crystal, Diamond-like detailing for texture and brilliant refraction, Sparkle beautifully in the light, It offers excellent clarity, safer for storing bourbon, scotch and Irish whisky. Unique Everest artwork design makes it not just a glass, but also a work of art. 

The large whiskey glasses were designed for enthusiasts that enjoy oversized ice cubes/ice balls. Due to the shape, It is easy to hold with one hand. The large stopper on the port decanter is easy to grasp and remove, protecting the whiskey in the bottle from evaporating.

The sparkling bourbon decanter set is nestled in a unique elegant gift box, well protected during shipping or storing. An excellent gift for Christmas, birthday, holidays for your dad or any loved one.
",In stock,new,155.23,103.49,https://faceboook.com/,https://i.ebayimg.com/images/g/JrMAAOSw4O1eZhcG/s-l500.jpg,https://i.ebayimg.com/images/g/wDkAAOSwL9peVq5H/s-l500.jpg,Kanars,22,Home & Garden > Kitchen & Dining > Barware > Decanters,Home > Home Goods > Kitchen & Dining > Barware > Decanters,clear,male,adult,all,,
GZ-B087YTKGP7,Funny Donald Trump Great Dad Coffee Mug,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
",In stock,new,29.23,19.49,https://faceboook.com/,https://i.ebayimg.com/images/g/dkAAAOSwCTlgmZ4h/s-l1600.jpg,https://i.ebayimg.com/images/g/31YAAOSwsppgmZ3q/s-l1600.jpg,Unbranded,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,male,adult,all,,
GZ-B087YTKGP8,"Yoda Best Dad In The Unıverse Gift for DAD Coffee Mug Daddy
","📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
PREMIUM QUALITY - High quality 11 ounces white ceramic mug, dishwasher and microwave safe, printed on both sides. Great gift idea for coffee or tea addicts.
",In stock,new,29.23,19.49,https://faceboook.com/,https://i.ebayimg.com/images/g/sXwAAOSwj-Ze3Gc0/s-l500.jpg,https://i.ebayimg.com/images/g/3igAAOSw3hZe3Gc~/s-l500.jpg,King,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,male,adult,all,,
GZ-B087YTKGP9,"Funny Coffee Mug Dad Nutritional Facts Label, Large Ceramic Mug","📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑

❤BEST DAD GIFTS - A simple, ""Gag gift,"" might make everyone laugh, but then it gets tossed in the garage. A novelty mug however is useful because it can be great for coffee, soup, or tea, but also anytime your Dad looks at it he will smile upon remembering when he first got the useful and funny gift mug! With the humorous words printed on both sides a priceless joke turns into a lovely memory mum gets to enjoy with every sip.
❤ UNIQUE GIFTS FOR ANY OCCASION - They can be great for Fathers Day gifts from daughter or son, birthday gifts, cool Christmas gifts, dad retirement gifts, anniversary gifts, or just can be given to him anytime as a, ""Just because,"" present to let you dad know you're thinking of him.
",In stock,new,29.23,19.49,https://faceboook.com/,https://m.media-amazon.com/images/I/71ZdZEC8iQL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/71ZdZEC8iQL._AC_SX679_.jpg,Dave's Rustic Decor & More,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,male,adult,all,,
GZ-B087YTKGP10,Joe You Know I Won Mug Trump White House,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
This high quality 11oz ceramic white mug has a premium hard coat that provides crisp and vibrant color reproduction sure to last for years. Perfect for all hot & cold beverages.

The highest quality printing possible is used. It will never fade no matter how many times you wash it.

Material: 100% Ceramic.
Print both sides.
Dishwasher and Microwave Safe.
High Gloss + Premium White Finish.
Printed in the U.S.A.
",In stock,new,33.64,22.43,https://faceboook.com/,https://m.media-amazon.com/images/I/511E5INArQL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/514SmCvFUDL._AC_SX679_.jpg,Dave's Rustic Decor & More,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,adult,all,,
GZ-B087YTKGP11,Let's Go Brandon Novelty Cup Ceramic Coffee Mug Mug 11 Oz.,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
The highest quality printing possible is used. It will never fade no matter how many times you wash it.

Material: 100% Ceramic.

Size: 11oz
Print both sides.
Dishwasher and Microwave Safe.
High Gloss + Premium White Finish.
Printed in the U.S.A.
",In stock,new,33.64,22.43,https://faceboook.com/,https://m.media-amazon.com/images/I/61ljrQH6mPL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/61ljrQH6mPL._AC_SX679_.jpg,Dave's Rustic Decor & More,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,adult,all,,
GZ-B087YTKGP12,Coffee Cat Mug EEFFOC Is Coffee Spelled Backwards 11 OZ Cute Cup,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
Mug 11 Oz
Design & Printed in the USA

High quality ceramic mug
Dishwasher safe
Microwave safe
White gloss 11 oz
Decorated with full wrap dye sublimation
SHIPPING

On average, merchandise is produced and shipped from our facility 2-3 business days after purchase.
",In stock,new,33.64,22.43,https://faceboook.com/,https://i.ebayimg.com/images/g/vpoAAOSwJ2BiCucf/s-l1600.png,https://i.ebayimg.com/images/g/bpwAAOSwbcJiCucH/s-l1600.png,Dave's Rustic Decor & More,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white and black,unisex,all ages,all,,
GZ-B087YTKGP13,Touch My Coffee 11 OZ Grinch Mug.,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
DESIGNS PRINTED ON BOTH SIDES: Two sided prints on every mug we sell
11-OUNCE MUG DESIGN: A standard sized mug that will allow you to fuel up on your morning cup of Joe!
DYE SUBLIMATION PRINT: Printing process with high heat transfer that makes for a near permanent finish on the Ceramic Mug.
THE FUNNY GIFT IDEA: This design is made to make someone you care about smile, the world we live in today definitely needs more SMILES
 Let Your Mug Speak for You: Our Funny mug is witty enough to make anyone smile, whether you use it at home or at your workplace, at your desk or in the break room. Share a smile with anyone on your gift list, whether they’re a boss, co-worker, employee, friend, family member, significant other, or anyone else.
Lasting Quality: High-quality, smooth ceramic stoneware resists scratches and lasts a long time. The custom imprint is permanent and won’t lose its luster or fade. Your stoneware ceramic mug can be used with either hand since the design is printed on two sides. Good for Any Occasion; With an 11-ounce capacity, these mugs hold plenty of liquid and make great gifts for all of your special occasions: anniversaries, bachelor and bachelorette.
",In stock,new,29.23,19.49,https://faceboook.com/,https://m.media-amazon.com/images/I/61GviwBQjIL._AC_SX679_.jpg,https://i.ebayimg.com/images/g/ql0AAOSwsExhQjqx/s-l500.jpg,Dave's Rustic Decor & More,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,all ages,all,,
GZ-B087YTKGP14,I Came I Saw I Had Anxiety So I Left Mug Coffee Cup - 11oz,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
PREMIUM QUALITY - High quality 11 ounces white ceramic mug, dishwasher and microwave safe, printed on both sides. Great gift idea for coffee or tea addicts.
""",In stock,new,26.3,17.54,https://faceboook.com/,https://i.ebayimg.com/images/g/9rQAAOSwX3hiGgci/s-l500.jpg,https://i.ebayimg.com/images/g/oyMAAOSwekpiGgch/s-l500.jpg,Crazy Dog Tshirts,10,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,all ages,all,,
GZ-B087YTKGP15,Avogato Mug Funny Avocado Cat Kitty Coffee Cup - 11oz,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
PREMIUM QUALITY - High quality 11 ounces white ceramic mug, dishwasher and microwave safe, printed on both sides. Great gift idea for coffee or tea addicts.
""""""",In stock,new,26.3,17.54,https://faceboook.com/,https://i.ebayimg.com/images/g/a88AAOSwZH9iNbaH/s-l500.jpg,https://i.ebayimg.com/images/g/hjQAAOSw6YxiNbaG/s-l500.jpg,Crazy Dog Tshirts,10,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,all ages,all,,
GZ-B087YTKGP16,I Would Fight a Bear for you Brother - Bear 11oz Coffee Mug,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
PREMIUM QUALITY - High quality 11 ounces white ceramic mug, dishwasher and microwave safe, printed on both sides. Great gift idea for coffee or tea addicts.
""""""",In stock,new,29.23,19.49,https://faceboook.com/,https://i.ebayimg.com/images/g/J8sAAOSw5BRhryZ6/s-l500.jpg,https://i.ebayimg.com/images/g/f~MAAOSweH9hryZ9/s-l500.jpg,Crazy Dog Tshirts,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,all ages,all,,
GZ-B087YTKGP17,I Would Fight a Bear for You Sister Coffee Mug - Tea Cup 11 Oz,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
PREMIUM QUALITY - High quality 11 ounces white ceramic mug, dishwasher and microwave safe, printed on both sides. Great gift idea for coffee or tea addicts.
""""""""""""""",In stock,new,29.23,19.49,https://faceboook.com/,https://i.ebayimg.com/images/g/7NAAAOSwjvNhryYq/s-l500.jpg,https://i.ebayimg.com/images/g/uWcAAOSw05VhryYs/s-l500.jpg,King,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,all ages,all,,
KA-B09K4TWYC2,Worlds Best Farter Ever I Mean Father Ceramic Coffee Mug,"📦This item is new in its original packaging.
✅If this listing is up, IT IS AVAILABLE on a First Come First Serve basis.
🚚On average it will take about 3-7 business days to arrive.
✅Your order is covered by Facebook purchase protection. There is also a 30 day return policy for legitimate return reasons.
💕Customer service is our main priority, please give us the opportunity to fix an issue before leaving feedback.
⏩Supply is limited, so get yours now!
📑ABOUT THIS ITEM📑
PREMIUM QUALITY - High quality 11 ounces white ceramic mug, dishwasher and microwave safe, printed on both sides. Great gift idea for coffee or tea addicts.
THE PERFECT GIFT - This funny cup is a great novelty drinkware with sayings that make fun gifts for him or her, aunt, brother, dad, daughter, father, girls, boys, grandfather, grandma, grandmother, grandpa, husband, male, man, mom, mother, parents, seniors, sister, son, student, teacher, teens, uncle, wife, woman, lady, men, boss, coworker, employee etc.
GOOD FOR SEVERAL OCCASIONS - A useful gift to coffee lovers for father's day, mother's day, bday, anniversary, a Christmas stocking stuffer, birthday, wedding, retirement, housewarming, appreciation, engagement, bridal shower, bachelorette, valentine's day, 2020 Xmas, holiday gift, gift exchange humor, sarcastic gag, party, retirement, 40th 50th 60th or 70th years old, funniest creative gifts, graduation friendship Christmas day secret Santa.
",In stock,new,29.23,19.49,https://faceboook.com/,https://i.ebayimg.com/images/g/3twAAOSwFN9fefMg/s-l500.jpg,https://i.ebayimg.com/images/g/jJwAAOSwz6ZfefMn/s-l500.jpg,King,50,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Home Goods > Kitchen & Dining > Drinkware > Mugs,white,unisex,all ages,all,,
